pecha id,language,url
P743000B8,sa,https://github.com/OpenPecha/P743000B8
P558484AE,zh,https://github.com/OpenPecha/P558484AE
P13367379,bo,https://github.com/OpenPecha/P13367379
P240FFFA2,en,https://github.com/OpenPecha/P240FFFA2
P09DCC9DD,en,https://github.com/OpenPecha/P09DCC9DD
P766221B0,bo,https://github.com/OpenPecha/P766221B0
P0DF9C80B,zh,https://github.com/OpenPecha/P0DF9C80B
P93127942,bo,https://github.com/OpenPecha/P93127942
PAB2F050F,bo,https://github.com/OpenPecha/PAB2F050F
P5D55E3DF,sa,https://github.com/OpenPecha/P5D55E3DF
